Month,d18O,d2H,Amount
12,-2.7,-30,0.5
12,-7.3,-84,0.8
10,-2.3,-46,0.8
4,0.6,-2,1.0
2,-16.6,-127,1.3
1,-5.4,-46,1.3
10,-2.4,-31,1.4
10,2.2,-1,1.5
6,3.5,-2,1.5
10,-3.8,-61,1.8
5,1.3,-7,1.8
2,-7.4,-46,2.0
10,-0.5,-6,2.0
5,-6.3,-37,2.3
6,2.2,-16,2.5
3,-6.8,-47,2.5
4,-9.4,-68,2.5
2,-7.0,-39,2.5
4,-7.9,-30,2.6
11,-2.9,-6,2.8
3,-5.1,-30,2.8
5,-4.7,-41,3.0
9,-9.3,-80,3.0
3,-4.9,-37,3.3
5,-1.7,-24,3.6
11,3.6,17,3.6
4,-3.4,-13,3.6
11,-4.1,-23,3.6
4,-3.8,-19,3.8
3,-8.1,-58,3.8
6,7.5,42,3.8
9,-5.0,-40,3.8
6,1.0,-14,4.2
1,-4.8,-27,4.3
12,-6.5,-34,4.8
10,-1.4,-10,4.8
12,-4.5,-24,4.8
3,-10.0,-75,5.1
6,-1.8,-19,5.1
2,-3.8,-28,5.2
10,-11.3,-79,5.3
6,-2.2,-18,5.3
3,-4.4,-36,5.3
10,-9.5,-68,5.6
8,-1.5,-6,5.8
3,-6.0,-34,6.1
12,-7.5,-57,6.1
2,-6.2,-41,6.3
3,-2.8,-20,6.6
1,-6.5,-41,6.6
2,-6.7,-57,7.1
2,-9.5,-60,7.1
9,0.4,-25,7.6
9,-0.3,-9,7.6
11,-7.2,-53,7.6
7,-4.1,-25,8
11,-6.1,-40,7.9
4,-18.7,-140,8.0
9,-3.3,-23,8.1
9,-5.2,-32,8.1
6,-4.3,-39,8.1
9,-3.6,-25,8.4
7,-0.3,-12,8.6
5,-0.1,-12,8.9
5,-2.0,-9,9.0
11,-8.3,-53,9.1
9,-4.8,-35,9.1
7,-3.2,-35,9.4
2,-6.0,-39,9.4
4,-6.4,-39,9.4
4,-11.9,-92,9.7
4,-10.1,-63,10.2
12,-9.4,-65,10
4,-8.4,-50,10.4
11,-6.4,-34,10.7
6,-0.1,-12,10.9
10,-4.2,-25,10.9
4,-6.4,-45,11.0
5,-5.8,-49,11.2
1,-10.8,-77,11.2
2,-10.7,-60,11.4
6,-2.6,-22,11.4
4,-9.8,-65,11.7
4,-8.2,-38,12.2
1,-8.6,-61,12.2
5,-9.6,-63,12.6
9,-8.1,-54,12.6
5,-7.0,-50,13.0
8,-4.5,-24,13.0
12,-5.3,-24,13.2
3,-4.1,-26,13.2
8,-2.4,-25,13.5
3,-7.4,-51,13.5
11,-5.8,-31,13.5
9,-1.4,-18,13.8
10,-4.7,-28,14.0
10,-8.6,-61,14.2
9,-6.5,-44,14.3
3,-8.1,-48,14.5
4,-8.8,-53,14.5
7,-4.0,-24,14.6
3,-7.9,-57,14.7
9,-7.9,-57,14.7
1,-6.1,-56,14.7
10,-6.3,-42,15.0
11,-9.7,-63,15.5
9,-4.1,-31,15.7
12,-4.4,-19,16.0
10,-11.8,-82,16.2
10,-7.3,-54,16.3
5,-2.8,-7,16.3
4,-6.1,-43,16.8
2,-9.9,-108,17.0
2,-7.5,-10,17.0
12,-8.3,-52,17.0
4,-12.7,-91,17.2
10,-11.6,-72,17.2
11,-8.7,-57,17.4
4,-6.1,-31,17.5
2,-7.5,-46,17.5
7,-6.8,-49,17.8
7,0.7,-7,17.8
3,-6.2,-37,18.3
3,-11.1,-84,19.0
7,-8.8,-72,19.0
12,-10.0,-69,19.1
9,-9.9,-70,19.3
11,-10.2,-63,19.5
5,0.2,-5,19.5
12,-5.7,-37,20.1
6,-7.1,-52,20.2
1,-7.3,-49,20.4
10,-9.5,-59,20.6
3,-12.8,-89,21.8
12,-13.0,-101,22.4
11,-11.6,-75,22.6
11,-7.9,-41,22.6
1,-12.4,-85,22.6
1,-11.5,-14,22.7
8,-2.0,-17,23.4
10,-4.1,-23,23.8
6,-5.1,-27,23.9
8,0.3,-2,24.4
7,-8.5,-68,24.6
1,-6.0,-41,24.6
3,-6.3,-32,24.9
10,-1.3,-5,25.2
3,-9.4,-65,25.4
7,-0.5,-11,25.4
1,-6.0,-33,25.4
7,-2.7,-26,25.8
12,-8.1,-47,25.9
7,-5.1,-30,26.4
1,-10.6,-67,26.6
2,-6.3,-39,26.7
11,-7.2,-40,26.9
3,-9.5,-64,27.4
12,-9.8,-68,27.4
3,-9.2,-55,27.5
8,,-23,27.5
2,-12.7,-89,27.6
8,-1.7,-20,27.6
5,-5.1,-33,28.2
10,-9.1,-60,28.6
9,-1.6,-25,29.0
10,-4.8,-32,29.5
12,-6.8,-36,29.5
3,-10.0,-70,30.0
3,-10.3,-63,30.7
11,-3.6,-16,30.7
1,-12.6,-85,31.2
11,-7.0,-49,31.2
4,-4.3,-25,31.8
2,-9.1,-61,32.2
11,-7.2,-47,33.0
1,-2.8,-55,33.5
7,-3.8,-26,33.8
1,-9.0,-56,34.0
4,-15.5,-113,34.5
8,-1.8,-18,34.8
10,-6.9,-38,34.9
